product_id,product_name,price,units_sold,page_views,conversion_rate,product_category,date
P-1001,Wireless Earbuds,135.76,24,1564,0.0153,Electronics,2025-01-01
P-1002,USB-C Docking Hub,180.45,86,2640,0.0326,Electronics,2025-01-01
P-1003,Smart Home Camera,224.14,31,2315,0.0134,Electronics,2025-01-01
P-1004,Portable Charger,270.39,9,1007,0.0089,Electronics,2025-01-01
P-1005,Bluetooth Speaker,231.19,34,957,0.0355,Electronics,2025-01-01
P-1006,Gaming Keyboard,211.59,60,1413,0.0425,Electronics,2025-01-01
P-1007,Streaming Microphone,301.96,50,1852,0.027,Electronics,2025-01-01
P-1008,Fitness Smartwatch,395.56,63,1578,0.0399,Electronics,2025-01-01
P-1009,Ceramic Cookware Set,62.98,85,1159,0.0733,Home & Kitchen,2025-01-01
P-1010,Air Fryer Basket,66.71,69,963,0.0717,Home & Kitchen,2025-01-01
P-1011,Memory Foam Pillow,86.92,110,1865,0.059,Home & Kitchen,2025-01-01
P-1012,Countertop Blender,122.53,63,1663,0.0379,Home & Kitchen,2025-01-01
P-1013,Cotton Sheet Set,61.96,33,791,0.0417,Home & Kitchen,2025-01-01
P-1014,Desk Organizer,99.93,87,1624,0.0536,Home & Kitchen,2025-01-01
P-1015,LED Floor Lamp,84.11,30,917,0.0327,Home & Kitchen,2025-01-01
P-1016,Vacuum Storage Bags,74.84,91,1493,0.061,Home & Kitchen,2025-01-01
P-1017,Hydrating Face Serum,58.7,91,1251,0.0727,Beauty,2025-01-01
P-1018,Mineral Sunscreen,12.67,282,1931,0.146,Beauty,2025-01-01
P-1019,Retinol Night Cream,32.15,127,1562,0.0813,Beauty,2025-01-01
P-1020,Matte Lip Kit,75.87,222,2498,0.0889,Beauty,2025-01-01
P-1021,Scalp Care Tonic,47.13,183,2186,0.0837,Beauty,2025-01-01
P-1022,Fragrance Discovery Set,16.8,363,3009,0.1206,Beauty,2025-01-01
P-1023,Reusable Makeup Pads,20.94,149,1258,0.1184,Beauty,2025-01-01
P-1024,Volumizing Hair Brush,39.81,174,1162,0.1497,Beauty,2025-01-01
P-1025,Performance Hoodie,37.57,125,1067,0.1172,Apparel,2025-01-01
P-1026,Running Shorts,112.98,137,1282,0.1069,Apparel,2025-01-01
P-1027,Stretch Denim Jeans,76.95,147,2413,0.0609,Apparel,2025-01-01
P-1028,Linen Button Shirt,82.02,92,1207,0.0762,Apparel,2025-01-01
P-1029,Seamless Leggings,39.2,108,1089,0.0992,Apparel,2025-01-01
P-1030,Merino Crew Socks,105.38,66,1415,0.0466,Apparel,2025-01-01
P-1031,Canvas Weekender Bag,121.12,46,623,0.0738,Apparel,2025-01-01
P-1032,Rain Shell Jacket,67.54,43,718,0.0599,Apparel,2025-01-01
P-1033,Adjustable Dumbbell,39.26,32,462,0.0693,Fitness,2025-01-01
P-1034,Yoga Mat Pro,206.67,31,1322,0.0234,Fitness,2025-01-01
P-1035,Resistance Band Kit,136.53,31,845,0.0367,Fitness,2025-01-01
P-1036,Foam Roller,77.91,47,1282,0.0367,Fitness,2025-01-01
P-1037,Cycling Trainer Stand,155.37,94,1515,0.062,Fitness,2025-01-01
P-1038,Hydration Vest,169.83,35,1035,0.0338,Fitness,2025-01-01
P-1039,Recovery Massage Gun,110.09,23,736,0.0313,Fitness,2025-01-01
P-1040,Balance Board,185.92,91,1203,0.0756,Fitness,2025-01-01
P-1041,Organic Coffee Beans,10.01,158,2042,0.0774,Grocery,2025-01-01
P-1042,Protein Granola,16.3,113,896,0.1261,Grocery,2025-01-01
P-1043,Sparkling Water Pack,39.03,414,2083,0.1988,Grocery,2025-01-01
P-1044,Olive Oil Tin,23.51,428,2026,0.2113,Grocery,2025-01-01
P-1045,Dried Mango Slices,13.17,96,653,0.147,Grocery,2025-01-01
P-1046,Plant-Based Jerky,5.17,530,2982,0.1777,Grocery,2025-01-01
P-1047,Almond Butter Jar,20.47,189,1490,0.1268,Grocery,2025-01-01
P-1048,Herbal Tea Sampler,30.83,451,2796,0.1613,Grocery,2025-01-01
P-1001,Wireless Earbuds,140.96,31,1504,0.0206,Electronics,2025-01-02
P-1002,USB-C Docking Hub,180.99,94,2844,0.0331,Electronics,2025-01-02
P-1003,Smart Home Camera,223.28,30,1927,0.0156,Electronics,2025-01-02
P-1004,Portable Charger,269.62,14,767,0.0183,Electronics,2025-01-02
P-1005,Bluetooth Speaker,229.97,48,1168,0.0411,Electronics,2025-01-02
P-1006,Gaming Keyboard,208.19,61,1619,0.0377,Electronics,2025-01-02
P-1007,Streaming Microphone,302.03,37,1507,0.0246,Electronics,2025-01-02
P-1008,Fitness Smartwatch,374.62,71,1782,0.0398,Electronics,2025-01-02
P-1009,Ceramic Cookware Set,65.23,98,1348,0.0727,Home & Kitchen,2025-01-02
P-1010,Air Fryer Basket,67.83,76,1033,0.0736,Home & Kitchen,2025-01-02
P-1011,Memory Foam Pillow,94.04,114,1633,0.0698,Home & Kitchen,2025-01-02
P-1012,Countertop Blender,121.09,56,1802,0.0311,Home & Kitchen,2025-01-02
P-1013,Cotton Sheet Set,63.43,31,691,0.0449,Home & Kitchen,2025-01-02
P-1014,Desk Organizer,104.61,59,1198,0.0492,Home & Kitchen,2025-01-02
P-1015,LED Floor Lamp,84.61,16,840,0.019,Home & Kitchen,2025-01-02
P-1016,Vacuum Storage Bags,73.38,93,1403,0.0663,Home & Kitchen,2025-01-02
P-1017,Hydrating Face Serum,61.34,77,1114,0.0691,Beauty,2025-01-02
P-1018,Mineral Sunscreen,12.72,377,2707,0.1393,Beauty,2025-01-02
P-1019,Retinol Night Cream,31.91,114,1530,0.0745,Beauty,2025-01-02
P-1020,Matte Lip Kit,79.99,223,2450,0.091,Beauty,2025-01-02
P-1021,Scalp Care Tonic,46.51,150,1670,0.0898,Beauty,2025-01-02
P-1022,Fragrance Discovery Set,16.94,371,3033,0.1223,Beauty,2025-01-02
P-1023,Reusable Makeup Pads,20.69,121,1172,0.1032,Beauty,2025-01-02
P-1024,Volumizing Hair Brush,41.69,210,1327,0.1583,Beauty,2025-01-02
P-1025,Performance Hoodie,37.07,103,893,0.1153,Apparel,2025-01-02
P-1026,Running Shorts,113.29,102,1160,0.0879,Apparel,2025-01-02
P-1027,Stretch Denim Jeans,80.42,87,1830,0.0475,Apparel,2025-01-02
P-1028,Linen Button Shirt,81.75,97,1359,0.0714,Apparel,2025-01-02
P-1029,Seamless Leggings,41.27,106,1029,0.103,Apparel,2025-01-02
P-1030,Merino Crew Socks,104.47,63,1554,0.0405,Apparel,2025-01-02
P-1031,Canvas Weekender Bag,120.68,56,764,0.0733,Apparel,2025-01-02
P-1032,Rain Shell Jacket,71.47,67,857,0.0782,Apparel,2025-01-02
P-1033,Adjustable Dumbbell,40.94,42,544,0.0772,Fitness,2025-01-02
P-1034,Yoga Mat Pro,214.83,36,1191,0.0302,Fitness,2025-01-02
P-1035,Resistance Band Kit,131.66,30,702,0.0427,Fitness,2025-01-02
P-1036,Foam Roller,74.09,85,1927,0.0441,Fitness,2025-01-02
P-1037,Cycling Trainer Stand,159.9,87,1344,0.0647,Fitness,2025-01-02
P-1038,Hydration Vest,165.69,34,981,0.0347,Fitness,2025-01-02
P-1039,Recovery Massage Gun,105.4,26,834,0.0312,Fitness,2025-01-02
P-1040,Balance Board,187.86,80,1305,0.0613,Fitness,2025-01-02
P-1041,Organic Coffee Beans,9.88,203,2452,0.0828,Grocery,2025-01-02
P-1042,Protein Granola,16.94,85,640,0.1328,Grocery,2025-01-02
P-1043,Sparkling Water Pack,37.71,416,2006,0.2074,Grocery,2025-01-02
P-1044,Olive Oil Tin,23.97,240,1457,0.1647,Grocery,2025-01-02
P-1045,Dried Mango Slices,12.89,165,825,0.2,Grocery,2025-01-02
P-1046,Plant-Based Jerky,5.12,609,3190,0.1909,Grocery,2025-01-02
P-1047,Almond Butter Jar,20.61,148,1210,0.1223,Grocery,2025-01-02
P-1048,Herbal Tea Sampler,31.75,434,3023,0.1436,Grocery,2025-01-02
P-1001,Wireless Earbuds,140.58,18,1268,0.0142,Electronics,2025-01-03
P-1002,USB-C Docking Hub,181.21,80,2234,0.0358,Electronics,2025-01-03
P-1003,Smart Home Camera,224.21,44,2684,0.0164,Electronics,2025-01-03
P-1004,Portable Charger,273.93,12,950,0.0126,Electronics,2025-01-03
P-1005,Bluetooth Speaker,227.37,40,1069,0.0374,Electronics,2025-01-03
P-1006,Gaming Keyboard,218.2,49,1383,0.0354,Electronics,2025-01-03
P-1007,Streaming Microphone,302.26,40,1545,0.0259,Electronics,2025-01-03
P-1008,Fitness Smartwatch,315.91,95,1532,0.062,Electronics,2025-01-03
P-1009,Ceramic Cookware Set,66.77,72,960,0.075,Home & Kitchen,2025-01-03
P-1010,Air Fryer Basket,67.23,41,617,0.0665,Home & Kitchen,2025-01-03
P-1011,Memory Foam Pillow,86.75,80,1328,0.0602,Home & Kitchen,2025-01-03
P-1012,Countertop Blender,125.91,42,1537,0.0273,Home & Kitchen,2025-01-03
P-1013,Cotton Sheet Set,59.6,38,746,0.0509,Home & Kitchen,2025-01-03
P-1014,Desk Organizer,98.86,75,1464,0.0512,Home & Kitchen,2025-01-03
P-1015,LED Floor Lamp,82.99,25,1147,0.0218,Home & Kitchen,2025-01-03
P-1016,Vacuum Storage Bags,69.31,94,1386,0.0678,Home & Kitchen,2025-01-03
P-1017,Hydrating Face Serum,60.02,68,950,0.0716,Beauty,2025-01-03
P-1018,Mineral Sunscreen,12.5,246,1850,0.133,Beauty,2025-01-03
P-1019,Retinol Night Cream,32.38,129,1731,0.0745,Beauty,2025-01-03
P-1020,Matte Lip Kit,76.83,133,1619,0.0821,Beauty,2025-01-03
P-1021,Scalp Care Tonic,48.05,140,1664,0.0841,Beauty,2025-01-03
P-1022,Fragrance Discovery Set,16.34,334,2712,0.1232,Beauty,2025-01-03
P-1023,Reusable Makeup Pads,21.19,162,1503,0.1078,Beauty,2025-01-03
P-1024,Volumizing Hair Brush,33.78,212,1098,0.1931,Beauty,2025-01-03
P-1025,Performance Hoodie,38.39,99,824,0.1201,Apparel,2025-01-03
